id,baseline/000,baseline/001,baseline/002,baseline/003,baseline/004,baseline/005,baseline/006,baseline/007,baseline/008,baseline/009,baseline/010,baseline/011,baseline/012,holdout/000,holdout/001,holdout/002,holdout/003,holdout/004,holdout/005
./spec/iriq/calibration_spec.rb[1:1:152],26,25,28,34,28,110,39,31,38,34,29,30,31,25,23,25,23,23,22
./spec/iriq/calibration_spec.rb[1:1:153],30,30,33,43,34,94,57,36,44,40,33,35,35,29,27,28,26,28,26
./spec/iriq/calibration_spec.rb[1:1:154],28,29,32,38,31,76,50,34,42,39,33,33,33,26,24,27,24,26,24
./spec/iriq/calibration_spec.rb[1:1:155],30,30,33,40,33,76,44,36,45,41,33,35,36,28,26,29,26,27,25
./spec/iriq/calibration_spec.rb[1:1:156],33,32,35,43,36,126,47,39,49,44,37,37,39,31,29,31,28,29,28
./spec/iriq/calibration_spec.rb[1:1:157],27,28,31,38,32,69,38,33,43,38,33,33,33,27,24,27,25,25,25
./spec/iriq/calibration_spec.rb[1:1:158],28,27,30,37,30,68,38,34,42,36,31,32,34,27,24,26,24,24,24
./spec/iriq/calibration_spec.rb[1:1:159],28,28,30,36,31,91,38,33,42,37,31,31,32,26,23,26,24,24,24
./spec/iriq/calibration_spec.rb[1:1:160],27,26,30,36,30,100,38,32,41,35,30,31,33,25,24,26,24,25,23
./spec/iriq/calibration_spec.rb[1:1:161],27,27,30,39,30,76,40,33,40,35,29,31,32,26,24,25,23,24,24
./spec/iriq/calibration_spec.rb[1:1:162],27,27,30,37,30,77,38,33,41,36,31,31,32,25,24,26,24,24,24
./spec/iriq/calibration_spec.rb[1:1:163],26,27,30,36,30,71,38,32,40,36,30,30,33,24,23,24,23,25,23
./spec/iriq/calibration_spec.rb[1:1:164],29,31,33,39,33,88,41,36,45,39,33,34,38,30,26,28,29,27,26
./spec/iriq/calibration_spec.rb[1:1:165],29,28,33,40,43,288,40,35,45,39,33,32,35,26,25,29,27,27,25
./spec/iriq/calibration_spec.rb[1:1:166],28,28,32,37,31,87,41,34,43,38,32,32,35,26,25,26,26,27,26
./spec/iriq/calibration_spec.rb[1:1:167],29,30,32,40,32,84,39,36,44,39,33,35,35,26,24,27,26,27,26
./spec/iriq/calibration_spec.rb[1:1:168],30,29,32,38,32,80,39,34,43,39,33,34,34,28,25,27,26,27,26
./spec/iriq/calibration_spec.rb[1:1:169],30,29,32,39,34,79,40,36,44,38,33,34,36,27,26,27,27,27,26
./spec/iriq/calibration_spec.rb[1:1:170],29,29,32,38,32,79,40,34,42,38,33,35,35,26,26,26,26,26,26
./spec/iriq/calibration_spec.rb[1:1:171],29,28,32,41,32,83,39,34,42,38,32,33,34,26,24,26,25,26,26
./spec/iriq/calibration_spec.rb[1:1:172],33,33,37,44,37,72,56,39,454,45,366,385,39,30,293,31,303,29,28
./spec/iriq/calibration_spec.rb[1:1:173],31,31,34,40,35,51,65,36,41,42,34,35,36,27,26,29,27,29,27
./spec/iriq/calibration_spec.rb[1:1:174],29,29,34,40,33,45,48,36,40,39,33,34,35,26,25,27,26,26,25
./spec/iriq/calibration_spec.rb[1:1:175],32,31,37,43,36,46,46,39,42,43,37,39,38,28,27,30,28,28,28
./spec/iriq/calibration_spec.rb[1:1:176],28,30,32,37,33,42,41,34,38,39,33,34,34,26,26,26,25,26,26
./spec/iriq/calibration_spec.rb[1:1:177],27,27,30,35,31,38,41,32,36,37,30,32,32,25,25,25,25,24,23
./spec/iriq/calibration_spec.rb[1:1:178],27,27,31,35,29,98,38,32,37,37,30,32,32,24,23,25,26,24,23
./spec/iriq/calibration_spec.rb[1:1:179],27,27,29,34,30,125,37,32,36,37,29,31,31,26,23,27,24,24,24
./spec/iriq/calibration_spec.rb[1:1:180],28,31,32,39,31,101,40,34,41,38,31,33,33,26,25,26,26,26,24
./spec/iriq/calibration_spec.rb[1:1:181],28,28,31,38,31,85,39,36,38,39,32,35,33,25,25,27,26,26,27
./spec/iriq/calibration_spec.rb[1:1:182],34,39,41,47,40,116,50,43,77,48,41,41,41,34,31,33,30,34,30
./spec/iriq/calibration_spec.rb[1:1:183],30,31,33,40,36,87,42,37,50,41,35,36,37,29,26,29,26,27,27
./spec/iriq/calibration_spec.rb[1:1:184],29,30,33,39,32,50,38,35,44,39,33,33,34,26,25,27,26,26,25
./spec/iriq/calibration_spec.rb[1:1:185],29,29,33,38,33,65,40,35,40,40,33,35,34,27,26,26,26,26,26
./spec/iriq/calibration_spec.rb[1:1:186],29,29,34,39,32,51,40,36,41,40,34,35,34,27,26,27,26,26,26
./spec/iriq/calibration_spec.rb[1:1:187],29,29,32,38,32,46,39,35,41,39,32,34,34,26,25,27,25,26,26
./spec/iriq/calibration_spec.rb[1:1:188],28,28,33,37,31,42,38,35,39,38,31,32,34,26,24,26,24,25,24
./spec/iriq/calibration_spec.rb[1:1:189],30,29,32,38,31,43,42,34,42,43,31,33,33,27,27,27,25,25,24
./spec/iriq/calibration_spec.rb[1:1:190],28,28,31,37,31,38,37,33,42,38,32,31,34,25,24,26,24,25,24
./spec/iriq/calibration_spec.rb[1:1:191],27,27,31,36,30,37,36,33,39,38,31,31,32,25,24,25,24,24,24
./spec/iriq/calibration_spec.rb[1:1:192],31,33,35,41,32,46,198,177,38,43,31,32,33,29,24,30,23,29,28
./spec/iriq/calibration_spec.rb[1:1:193],29,29,32,38,31,41,38,34,199,40,30,32,32,26,23,27,24,26,25
./spec/iriq/calibration_spec.rb[1:1:194],28,28,33,37,34,40,37,33,43,39,35,35,37,26,27,27,27,26,25
./spec/iriq/calibration_spec.rb[1:1:195],24,23,26,32,27,33,80,29,34,32,28,28,30,22,21,22,21,22,21
./spec/iriq/calibration_spec.rb[1:1:196],24,24,26,31,26,32,46,28,32,33,27,28,28,21,21,22,21,21,21
./spec/iriq/calibration_spec.rb[1:1:197],28,28,31,38,33,40,46,34,40,40,33,34,35,27,26,27,27,26,25
./spec/iriq/calibration_spec.rb[1:1:198],28,29,32,39,32,156,41,34,38,39,32,34,34,27,25,27,25,26,25
./spec/iriq/calibration_spec.rb[1:1:199],28,28,30,37,32,44,39,33,38,39,32,33,33,26,24,25,25,26,24
./spec/iriq/calibration_spec.rb[1:1:200],28,30,31,38,32,39,39,33,39,38,32,32,32,26,25,26,25,27,25
./spec/iriq/calibration_spec.rb[1:1:201],29,27,31,36,32,38,39,33,37,38,31,32,30,25,24,26,24,25,23
./spec/iriq/calibration_spec.rb[1:1:202],30,30,34,39,36,42,42,35,41,41,34,35,32,28,26,28,26,28,26
./spec/iriq/calibration_spec.rb[1:1:203],28,28,30,38,53,39,38,34,38,38,31,32,31,26,24,27,25,25,24
./spec/iriq/calibration_spec.rb[1:1:204],29,28,33,38,40,39,39,34,37,38,32,33,31,26,25,26,25,26,25
./spec/iriq/calibration_spec.rb[1:1:205],29,28,32,37,37,41,41,36,38,40,33,34,31,27,25,26,27,27,24
./spec/iriq/calibration_spec.rb[1:1:206],29,28,31,37,34,37,39,32,38,37,31,32,31,26,24,25,24,25,24
